epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7138,1.79069,2.04945,1.88479,0.00852,0.33973,0.00563,0.00185,3.28331,inf,24.854,0.000664523,0.000664523,0.000664523
1,90.4118,1.86539,2.17064,1.95202,0.35345,0.33604,0.23123,0.08746,2.17697,2.77251,2.31108,0.000665595,0.000665595,0.000665595
1,88.9717,1.86539,2.17064,1.95202,0.35345,0.33604,0.23123,0.08746,2.17697,2.77251,2.31108,0.000665595,0.000665595,0.000665595
1,71.3756,1.75909,2.22447,2.06263,0.14496,0.27178,0.08436,0.0251,2.62134,4.44204,3.54182,0.000662393,0.000662393,0.000662393
2,140.609,1.90186,2.40184,2.20493,0.04772,0.09273,0.01117,0.00306,3.43323,4.65108,4.58149,0.00132874,0.00132874,0.00132874
3,208.979,1.8647,2.36979,2.1733,0.19363,0.21583,0.1166,0.03896,2.45844,3.43371,2.88901,0.00199378,0.00199378,0.00199378
4,277.444,1.81951,2.30628,2.12162,0.17318,0.21743,0.10049,0.02841,2.67908,3.71958,3.08219,0.00199561,0.00199561,0.00199561
5,345.096,1.74939,2.26326,2.07355,0.41641,0.31769,0.26891,0.10318,2.08751,2.45323,2.5504,0.00199219,0.00199219,0.00199219
6,411.579,1.71668,2.21262,2.02868,0.39563,0.38529,0.29866,0.12936,1.98184,2.29644,2.43765,0.00198781,0.00198781,0.00198781
7,478.611,1.70925,2.19904,2.02623,0.43101,0.38449,0.29877,0.12431,2.01025,2.36307,2.46664,0.00198246,0.00198246,0.00198246
8,545.501,1.66606,2.15404,1.9997,0.4249,0.37739,0.29345,0.12229,2.02841,2.39585,2.4918,0.00197616,0.00197616,0.00197616
9,612.67,1.64878,2.11318,1.97408,0.42984,0.3701,0.31836,0.14899,1.94778,2.27094,2.40542,0.0019689,0.0019689,0.0019689
10,679.301,1.61911,2.06097,1.93927,0.50216,0.42046,0.35435,0.16817,1.9084,2.17495,2.34701,0.00196069,0.00196069,0.00196069
11,745.122,1.59965,2.02729,1.92247,0.4665,0.40288,0.34679,0.1543,1.96889,2.18877,2.34337,0.00195155,0.00195155,0.00195155
12,809.558,1.58583,2.01636,1.92153,0.52067,0.42046,0.36665,0.18202,1.85734,2.06421,2.26738,0.00194147,0.00194147,0.00194147
13,874.416,1.57187,1.96897,1.89849,0.50671,0.40208,0.35168,0.16812,1.87203,2.12972,2.31517,0.00193048,0.00193048,0.00193048
14,939.156,1.56333,1.97599,1.89716,0.48665,0.44205,0.38866,0.19582,1.80195,1.99523,2.18821,0.00191858,0.00191858,0.00191858
15,1004.52,1.53002,1.9469,1.88464,0.53057,0.46523,0.42478,0.21319,1.80645,1.96231,2.21036,0.00190578,0.00190578,0.00190578
16,1071.06,1.53096,1.92386,1.87667,0.5519,0.44764,0.41631,0.21784,1.76511,2.02801,2.20916,0.0018921,0.0018921,0.0018921
17,1136.61,1.50365,1.88936,1.86024,0.55539,0.44235,0.405,0.21166,1.82902,2.00854,2.27302,0.00187754,0.00187754,0.00187754
18,1201.87,1.51619,1.91803,1.87148,0.57825,0.45404,0.42809,0.22499,1.81928,1.91043,2.22313,0.00186213,0.00186213,0.00186213
19,1267.36,1.50145,1.85216,1.84891,0.53428,0.47162,0.42109,0.21461,1.79146,1.97099,2.18485,0.00184588,0.00184588,0.00184588
20,1332.68,1.4829,1.85442,1.83211,0.53221,0.45883,0.42777,0.22772,1.75608,1.88821,2.18717,0.00182881,0.00182881,0.00182881
21,1398.08,1.48672,1.84135,1.83863,0.55132,0.44987,0.44127,0.23582,1.78099,1.93056,2.23825,0.00181093,0.00181093,0.00181093
22,1464.27,1.47178,1.82052,1.83711,0.56259,0.5052,0.47628,0.24495,1.74201,1.86349,2.13585,0.00179225,0.00179225,0.00179225
23,1529.66,1.45218,1.79232,1.82399,0.53447,0.46443,0.41803,0.23329,1.69709,1.93382,2.21867,0.00177281,0.00177281,0.00177281
24,1595.06,1.44997,1.80798,1.81662,0.51135,0.46123,0.42406,0.21969,1.81276,1.92906,2.22139,0.00175261,0.00175261,0.00175261
25,1660.37,1.44193,1.76835,1.81115,0.55648,0.50759,0.47133,0.26612,1.68213,1.7795,2.12487,0.00173168,0.00173168,0.00173168
26,1726.01,1.42608,1.74739,1.78989,0.5483,0.47802,0.44841,0.24454,1.69941,1.84599,2.13335,0.00171004,0.00171004,0.00171004
27,1791.06,1.43554,1.75669,1.79475,0.59583,0.50679,0.48524,0.26367,1.72236,1.75859,2.14776,0.0016877,0.0016877,0.0016877
28,1855.66,1.45465,1.75207,1.81486,0.61078,0.4996,0.50823,0.28583,1.67247,1.76291,2.10073,0.0016647,0.0016647,0.0016647
29,1920.77,1.41339,1.74037,1.77877,0.57887,0.50433,0.48302,0.27401,1.66397,1.76051,2.09985,0.00164105,0.00164105,0.00164105
30,1985.58,1.4081,1.70234,1.75977,0.58892,0.52758,0.50402,0.28404,1.6231,1.69689,2.04168,0.00161678,0.00161678,0.00161678
31,2050.57,1.4149,1.68929,1.77431,0.57994,0.50919,0.4962,0.2846,1.66156,1.68239,2.06557,0.00159191,0.00159191,0.00159191
32,2115.51,1.41323,1.69971,1.77738,0.59788,0.48441,0.49959,0.28277,1.66103,1.70358,2.10058,0.00156646,0.00156646,0.00156646
33,2179.96,1.38851,1.67214,1.75913,0.58477,0.51319,0.49396,0.28383,1.63935,1.69887,2.05121,0.00154047,0.00154047,0.00154047
34,2245.07,1.38597,1.6573,1.74389,0.56429,0.5012,0.45807,0.263,1.62475,1.76024,2.05773,0.00151395,0.00151395,0.00151395
35,2310.02,1.36058,1.67976,1.73631,0.57074,0.51319,0.49219,0.28345,1.64473,1.72103,2.07746,0.00148694,0.00148694,0.00148694
36,2374.49,1.35509,1.65004,1.74274,0.58914,0.52278,0.50863,0.29615,1.62352,1.65385,2.02534,0.00145945,0.00145945,0.00145945
37,2439.21,1.37405,1.63741,1.7352,0.55046,0.52278,0.49098,0.28062,1.63124,1.69577,2.07327,0.00143152,0.00143152,0.00143152
38,2503.68,1.35173,1.63042,1.72502,0.56805,0.50919,0.48937,0.27674,1.66345,1.72543,2.07289,0.00140318,0.00140318,0.00140318
39,2568.18,1.34318,1.61707,1.72228,0.58366,0.52556,0.50697,0.28769,1.66702,1.68445,2.07442,0.00137444,0.00137444,0.00137444
40,2632.67,1.35558,1.63028,1.72149,0.54312,0.52198,0.49054,0.28703,1.61705,1.69813,2.04916,0.00134535,0.00134535,0.00134535
41,2697.2,1.35349,1.62638,1.72178,0.55956,0.56355,0.52498,0.30723,1.60632,1.62788,2.02774,0.00131593,0.00131593,0.00131593
42,2765.17,1.32975,1.57197,1.7092,0.57086,0.55556,0.53875,0.30835,1.59802,1.64466,1.97869,0.0012862,0.0012862,0.0012862
43,2831.55,1.32591,1.57559,1.7014,0.58308,0.50999,0.52623,0.30801,1.57775,1.66442,2.01318,0.0012562,0.0012562,0.0012562
44,2896.14,1.31266,1.56584,1.69995,0.59079,0.53895,0.53844,0.3156,1.60518,1.62726,2.04352,0.00122596,0.00122596,0.00122596
45,2961.16,1.33527,1.58323,1.70486,0.60285,0.54357,0.55559,0.32085,1.56012,1.61399,1.9636,0.00119551,0.00119551,0.00119551
46,3026.19,1.30836,1.55955,1.69026,0.59697,0.55795,0.55488,0.31822,1.5911,1.62699,1.99586,0.00116487,0.00116487,0.00116487
47,3090.83,1.315,1.55636,1.69834,0.60184,0.56186,0.55201,0.32233,1.57619,1.5726,1.98739,0.00113408,0.00113408,0.00113408
48,3156.95,1.29692,1.52896,1.67701,0.58135,0.53237,0.51957,0.30629,1.58736,1.63536,2.02223,0.00110317,0.00110317,0.00110317
49,3242.71,1.28916,1.52013,1.67629,0.60505,0.52998,0.54018,0.31609,1.56093,1.63568,1.97054,0.00107216,0.00107216,0.00107216
50,3309.45,1.27846,1.49858,1.67086,0.61161,0.56646,0.56897,0.33026,1.58113,1.55741,1.9717,0.0010411,0.0010411,0.0010411
51,3375.68,1.29447,1.52403,1.67628,0.61181,0.54425,0.5592,0.33015,1.55679,1.57438,1.95623,0.00101,0.00101,0.00101
52,3442.2,1.28084,1.49107,1.65758,0.59135,0.52358,0.53886,0.3246,1.56766,1.61234,1.99281,0.000978903,0.000978903,0.000978903
53,3508.76,1.25402,1.4487,1.64319,0.59163,0.54197,0.5485,0.33087,1.53705,1.58896,1.95495,0.000947837,0.000947837,0.000947837
54,3575.15,1.26743,1.47596,1.65207,0.58946,0.57616,0.56666,0.33426,1.57877,1.54633,1.97343,0.000916833,0.000916833,0.000916833
55,3641.81,1.24078,1.44566,1.63294,0.62335,0.55961,0.57443,0.33866,1.55174,1.53547,1.95692,0.00088592,0.00088592,0.00088592
56,3708.65,1.25854,1.45451,1.64309,0.58942,0.56835,0.55028,0.32803,1.54685,1.56775,1.95197,0.00085513,0.00085513,0.00085513
57,3776.26,1.2518,1.44542,1.63601,0.57423,0.55635,0.55301,0.32203,1.55502,1.55976,1.97093,0.000824492,0.000824492,0.000824492
58,3846.2,1.24605,1.44189,1.62982,0.64291,0.54689,0.56501,0.34004,1.54046,1.55487,1.95204,0.000794038,0.000794038,0.000794038
59,3913.58,1.22097,1.41185,1.6147,0.60769,0.55076,0.56325,0.33464,1.54227,1.53852,1.95213,0.000763797,0.000763797,0.000763797
60,3980.69,1.2376,1.41743,1.62879,0.60625,0.56737,0.56428,0.33815,1.55746,1.54832,1.96088,0.000733799,0.000733799,0.000733799
61,4047.9,1.22463,1.41528,1.61685,0.61625,0.55476,0.56586,0.34092,1.52369,1.53961,1.93615,0.000704073,0.000704073,0.000704073
62,4115.43,1.21181,1.37719,1.60769,0.60366,0.56035,0.56452,0.34259,1.54261,1.53348,1.94914,0.000674649,0.000674649,0.000674649
63,4180.43,1.22631,1.39962,1.61199,0.61269,0.55259,0.57404,0.33882,1.54073,1.52728,1.95167,0.000645557,0.000645557,0.000645557
64,4245.17,1.21067,1.38239,1.60611,0.6242,0.53397,0.57812,0.34408,1.53015,1.50371,1.9323,0.000616824,0.000616824,0.000616824
65,4310.52,1.2146,1.3841,1.60204,0.61965,0.56275,0.57816,0.34815,1.52709,1.50716,1.91951,0.000588479,0.000588479,0.000588479
66,4376,1.19822,1.35812,1.58783,0.57803,0.55396,0.55016,0.33237,1.52912,1.53044,1.94381,0.000560549,0.000560549,0.000560549
67,4441.25,1.17729,1.31627,1.57812,0.61908,0.55316,0.57799,0.3498,1.54526,1.52449,1.9675,0.000533064,0.000533064,0.000533064
68,4505.9,1.18937,1.3276,1.58379,0.61418,0.54676,0.5665,0.34186,1.52856,1.54056,1.93924,0.000506049,0.000506049,0.000506049
69,4570.39,1.17541,1.32459,1.57946,0.60193,0.60352,0.58678,0.34999,1.52781,1.46882,1.91785,0.000479531,0.000479531,0.000479531
70,4636.42,1.16592,1.30512,1.577,0.62949,0.56115,0.5916,0.35547,1.51316,1.47205,1.91536,0.000453537,0.000453537,0.000453537
71,4701.4,1.17035,1.31352,1.57489,0.61647,0.58034,0.59054,0.35418,1.52493,1.5027,1.92214,0.000428093,0.000428093,0.000428093
72,4765.84,1.16296,1.31232,1.56741,0.63425,0.56994,0.58364,0.35412,1.52222,1.4756,1.93232,0.000403222,0.000403222,0.000403222
73,4830.47,1.15639,1.29193,1.56065,0.6279,0.55795,0.58445,0.35035,1.5293,1.4774,1.92093,0.00037895,0.00037895,0.00037895
74,4894.75,1.14952,1.26973,1.55454,0.65458,0.54516,0.58201,0.34929,1.53042,1.49113,1.92474,0.000355301,0.000355301,0.000355301
75,4964.56,1.15422,1.28213,1.55907,0.62283,0.57794,0.58553,0.35553,1.53146,1.48486,1.93132,0.000332298,0.000332298,0.000332298
76,5029.43,1.13868,1.26592,1.54667,0.62467,0.57208,0.58831,0.35671,1.533,1.47958,1.93739,0.000309964,0.000309964,0.000309964
77,5094.41,1.14428,1.26898,1.55096,0.6353,0.57234,0.58948,0.3537,1.52782,1.47375,1.92756,0.000288321,0.000288321,0.000288321
78,5158.93,1.11676,1.22116,1.53023,0.62913,0.57714,0.59076,0.35783,1.52215,1.48573,1.93222,0.00026739,0.00026739,0.00026739
79,5223.79,1.12936,1.22984,1.53987,0.62996,0.58913,0.59289,0.36146,1.52167,1.48437,1.92652,0.000247192,0.000247192,0.000247192
80,5288.22,1.11984,1.22003,1.5285,0.65163,0.57794,0.60174,0.36642,1.51649,1.46575,1.91892,0.000227747,0.000227747,0.000227747
81,5353.19,1.11573,1.21516,1.52585,0.65123,0.57074,0.60255,0.36566,1.52399,1.4446,1.92444,0.000209073,0.000209073,0.000209073
82,5418.42,1.12571,1.22093,1.52894,0.60932,0.60032,0.60393,0.36507,1.51567,1.45038,1.9037,0.00019119,0.00019119,0.00019119
83,5483.2,1.11791,1.22498,1.52734,0.62316,0.58513,0.60586,0.36915,1.51066,1.4594,1.90676,0.000174115,0.000174115,0.000174115
84,5548.57,1.09441,1.18315,1.50684,0.62217,0.58433,0.59037,0.35825,1.52114,1.49789,1.92331,0.000157865,0.000157865,0.000157865
85,5613.92,1.11871,1.20482,1.527,0.65641,0.5788,0.5974,0.35999,1.5347,1.49898,1.93541,0.000142456,0.000142456,0.000142456
86,5679.1,1.09371,1.17723,1.50238,0.61687,0.59632,0.60311,0.35749,1.5294,1.46632,1.92065,0.000127904,0.000127904,0.000127904
87,5744.15,1.09879,1.18462,1.51388,0.63464,0.58034,0.59757,0.36048,1.52468,1.49323,1.92896,0.000114221,0.000114221,0.000114221
88,5809.18,1.09327,1.18414,1.51244,0.6282,0.58993,0.60442,0.36523,1.53126,1.47756,1.93824,0.000101423,0.000101423,0.000101423
89,5879.02,1.09486,1.17941,1.51164,0.63901,0.56994,0.59961,0.36152,1.52969,1.48232,1.93468,8.95213e-05,8.95213e-05,8.95213e-05
90,5944.41,1.08808,1.16257,1.50129,0.64524,0.58114,0.59761,0.3624,1.52751,1.48929,1.94093,7.8528e-05,7.8528e-05,7.8528e-05
91,6021.46,1.05962,1.10768,1.53409,0.62081,0.57634,0.58668,0.35588,1.54655,1.4699,1.94395,6.8454e-05,6.8454e-05,6.8454e-05
92,6085.91,1.04551,1.05232,1.53288,0.62341,0.57554,0.59287,0.35378,1.54253,1.46952,1.93515,5.93093e-05,5.93093e-05,5.93093e-05
93,6151.3,1.0271,1.01185,1.51314,0.62228,0.57874,0.59374,0.35735,1.53682,1.47753,1.93425,5.11027e-05,5.11027e-05,5.11027e-05
94,6216.05,1.02548,1.01213,1.5275,0.65019,0.56914,0.59566,0.35915,1.53101,1.48114,1.92946,4.38424e-05,4.38424e-05,4.38424e-05
95,6280.81,1.02363,0.99386,1.51429,0.61409,0.5864,0.59667,0.35754,1.53369,1.48888,1.93773,3.75356e-05,3.75356e-05,3.75356e-05
96,6345.19,1.0104,1.00076,1.51342,0.62561,0.58593,0.59727,0.35728,1.54001,1.49235,1.94114,3.21885e-05,3.21885e-05,3.21885e-05
97,6409.81,1.00613,0.98935,1.49983,0.63137,0.58593,0.59613,0.35835,1.54062,1.48726,1.94728,2.78064e-05,2.78064e-05,2.78064e-05
98,6474.91,1.00996,0.98341,1.50695,0.6328,0.57634,0.59326,0.35794,1.54289,1.49885,1.94971,2.43937e-05,2.43937e-05,2.43937e-05
99,6539.43,0.99855,0.98732,1.49773,0.63081,0.57554,0.59245,0.35643,1.54137,1.50069,1.94857,2.19535e-05,2.19535e-05,2.19535e-05
100,6603.7,1.01096,0.98687,1.51096,0.63617,0.58144,0.5966,0.35882,1.5423,1.49564,1.95033,2.04885e-05,2.04885e-05,2.04885e-05
